Stock,Market_Cap,PE_Ratio,PB_Ratio,ROE,ROA,Debt_to_Equity,EPS,Revenue,Profit_Margin,Dividend_Yield,Sector,Industry
ADANIENT.NS,2395368325120.00,15.89804,3.9469495,0.141094014,0.035829009,177.767,110.63,949951594496.00,0.14111,0.07,Energy,Thermal Coal
ADANIPORTS.NS,3024176545792.00,22.729004,4.227865,0.177660618,0.08196355,81.556,57.75,364866306048.00,0.34236,0.53,Industrials,Marine Shipping
APOLLOHOSP.NS,1066738384896.00,59.17212,11.7305155,0.176065171,0.069994288,83.606,125.38,242151997440.00,0.07441,0.27,Healthcare,Medical Care Facilities
ASIANPAINT.NS,2075548319744.00,54.048923,10.5960655,0.189034326,0.120746282,17.609,40.06,346495287296.00,0.11098,1.16,Basic Materials,Specialty Chemicals
AXISBANK.NS,3609226379264.00,13.774168,1.7418526,0.149838634,0.016931649,,84.31,768435683328.00,0.3417,0.09,Financial Services,Banks - Regional
BAJAJ-AUTO.NS,2452256194560.00,27.624334,7.175694,0.208155507,0.135146086,57.257,317.89,590238384128.00,0.15052,2.39,Consumer Cyclical,Auto Manufacturers
BAJAJFINSV.NS,2606796111872.00,27.24662,3.3953393,0.122553657,0.013603005,237.537,59.89,1470303567872.00,0.06583,0.06,Financial Services,Financial Conglomerates
BAJFINANCE.NS,4982711517184.00,27.696959,4.823152,0.172068737,0.035693762,310.294,28.94,412833284096.00,0.4368,0.55,Financial Services,Credit Services
BEL.NS,2928662806528.00,49.039165,13.592414,0.266419811,0.130325682,0.273,8.17,265352708096.00,0.22475,1.09,Industrials,Aerospace & Defense
BHARTIARTL.NS,10857439297536.00,35.21138,8.698198,0.295201365,0.065238498,117.095,50.62,2034658050048.00,0.14937,0.9,Communication Services,Telecom Services
CIPLA.NS,988887515136.00,21.786795,3.0039432,0.16902651,0.141025339,1.415,56.19,279671898112.00,0.16256,1.06,Healthcare,Drug Manufacturers - Specialty & Generic
